date,phytos31_moisture,teros11_temperature,atmos14_atmosphericpressure,teros11_volumetricwatercontent,atmos14_temperature,atmos14_vaporpressure,atmos14_moisture
2022-07-08 17:00:00+00:00,0.16484833333333335,23.749995833333333,97.66332999999999,2604.3741616666666,25.1416625,1.25233,0.3922475
2022-07-08 18:00:00+00:00,0.16503416666666668,23.224995000000003,97.66499666666665,2594.3866716666666,23.783330833333334,1.3173283333333334,0.44566666666666666
2022-07-08 19:00:00+00:00,0.1653175,22.2874975,97.7099975,2590.0574716666665,20.324994166666666,1.4904133333333334,0.6194149999999999
2022-07-08 20:00:00+00:00,0.16662333333333335,,97.73999,2587.82006,18.549995,1.598,0.7456666666666667
2022-07-08 21:00:00+00:00,0.16487,21.349993333333334,97.72166666666668,2587.835722857143,16.879996,1.5714975,0.812998
2022-07-08 22:00:00+00:00,0.1652375,21.0333325,97.69666166666667,2587.4926954545454,16.249996000000003,1.5384125,0.8358172727272727
2022-07-08 23:00:00+00:00,0.16469444444444445,20.866656666666668,97.676997,2588.42128875,16.329991,1.5589975,0.841598
2022-07-09 00:00:00+00:00,0.16491111111111112,20.555555555555557,97.65999666666667,2589.7244411111114,16.366657777777775,1.5525522222222223,0.8346655555555555
2022-07-09 01:00:00+00:00,0.16674333333333333,20.55,97.63499333333334,2589.630834166667,16.749994166666667,1.5775808333333332,0.8274983333333333
2022-07-09 02:00:00+00:00,0.1658683333333333,20.441660833333334,97.62166500000001,2588.6166741666666,16.799995833333334,1.5692475000000001,0.8212491666666666
2022-07-09 03:00:00+00:00,0.16521666666666665,20.283325833333333,97.63582833333334,2585.3899699999997,16.4999975,1.5555808333333332,0.8291666666666666
2022-07-09 04:00:00+00:00,0.1655616666666667,20.274995,97.65083333333332,2584.2399666666665,17.033329166666665,1.6102474999999998,0.8302491666666666
2022-07-09 05:00:00+00:00,0.16623416666666666,20.93333,97.64082666666667,2582.0508375,19.849995833333335,1.9206649999999998,0.8129991666666666
2022-07-09 06:00:00+00:00,0.16519666666666669,21.609999,97.63362636363637,2611.36747,21.799996363636364,1.7836345454545453,0.6879974999999999
2022-07-09 07:00:00+00:00,0.16448416666666668,21.883326666666665,97.61333083333334,2693.7024699999997,22.808329166666667,1.7254133333333332,0.6220808333333333
2022-07-09 08:00:00+00:00,0.1652575,22.216662499999998,97.5799925,2642.843358333333,24.36666083333333,1.6014966666666666,0.5260808333333333
2022-07-09 09:00:00+00:00,0.16416,22.733329166666667,97.546665,2706.5074833333333,25.97272272727273,1.5624975,0.4644991666666667
2022-07-09 10:00:00+00:00,0.165075,23.216661666666667,97.517495,2720.6324833333333,26.783328333333333,1.4167458333333334,0.4024991666666667
2022-07-09 11:00:00+00:00,0.16411916666666668,23.75833,97.47082916666666,2706.3627427272727,27.799995454545456,1.4869958333333333,0.39858166666666667
2022-07-09 12:00:00+00:00,0.16473000000000002,26.290905454545456,97.42332833333334,2702.3336472727274,29.058330833333333,1.39858,0.3457263636363636
2022-07-09 13:00:00+00:00,0.16368916666666666,25.133330833333332,97.38582916666667,2721.6416783333334,28.8916625,1.3649954545454546,0.34283250000000004
2022-07-09 14:00:00+00:00,0.16336333333333333,25.008332499999998,97.34666,2720.854531818182,29.166661666666666,1.369797,0.3396363636363636
2022-07-09 15:00:00+00:00,0.16426166666666667,24.891659166666667,97.32165916666668,2712.2049925,28.6999975,1.2933572727272726,0.329915
2022-07-09 16:00:00+00:00,0.16422,24.7083275,97.294165,2684.760818333333,27.524995833333335,1.3149125,0.35791583333333327
2022-07-09 17:00:00+00:00,0.16440333333333335,24.354536363636363,97.30083166666667,2672.9233358333336,26.6666625,1.4118118181818182,0.40208333333333335
2022-07-09 18:00:00+00:00,0.16495333333333334,23.966663333333333,97.31165666666668,2663.0016433333335,25.5833275,1.4359072727272728,0.43983083333333334
2022-07-09 19:00:00+00:00,0.1644025,23.299997272727275,97.33749416666667,2658.4366608333335,23.091662499999998,1.5471641666666667,0.5501633333333333
2022-07-09 20:00:00+00:00,0.16479,22.633327499999996,97.36749833333334,2657.0991375,20.016663333333334,1.6387466666666668,0.6967491666666666
2022-07-09 21:00:00+00:00,0.16561666666666666,22.183331666666664,97.37856285714285,2655.76625875,18.442852857142856,1.70674875,0.79799625
2022-07-09 22:00:00+00:00,0.16752,21.5,97.33999,2655.15991,17.0,1.646,0.85199
2022-07-09 23:00:00+00:00,0.16635666666666668,21.274995,97.32832583333334,2656.4574941666665,16.541660833333335,1.6274983333333335,0.8658316666666667
2022-07-10 00:00:00+00:00,0.16578666666666667,20.9583275,97.29166333333335,2656.11909,16.24545,1.6080775,0.8719072727272728
2022-07-10 01:00:00+00:00,0.16500285714285715,20.785707142857145,97.25142857142858,2655.2686185714288,16.28570857142857,1.601422857142857,0.8655685714285715
2022-07-10 02:00:00+00:00,0.16548166666666667,20.658333333333335,97.24166333333334,2654.1166541666666,16.433330833333333,1.6103308333333333,0.8629991666666667
2022-07-10 03:00:00+00:00,0.16700666666666666,20.5333325,97.22749833333334,2653.583309166667,16.508331666666667,1.6145783333333332,0.8602483333333333
2022-07-10 04:00:00+00:00,0.16552166666666668,20.518181818181816,97.22333166666668,2652.976600833333,17.041664166666667,1.6819141666666668,0.8660825
2022-07-10 05:00:00+00:00,0.16588833333333333,21.024995,97.21749666666666,2652.9275058333333,19.441660833333334,1.9559141666666668,0.8427483333333333
2022-07-10 06:00:00+00:00,0.165765,21.816663333333334,97.20999333333333,2659.46085,22.158328333333333,2.29683,0.7504149999999999
2022-07-10 07:00:00+00:00,0.16513416666666667,22.159999,97.18749833333334,2740.9391441666667,22.841663333333333,1.7537272727272728,0.6339108333333333
2022-07-10 08:00:00+00:00,0.16542083333333332,22.45832833333333,97.18083166666668,2703.449113333333,24.3583275,1.6488308333333332,0.5374983333333333
2022-07-10 09:00:00+00:00,0.16385333333333332,22.972724545454547,97.15166666666669,2741.5045445454543,26.354540909090908,1.6385791666666665,0.478097
2022-07-10 10:00:00+00:00,0.16533833333333334,23.53635909090909,97.12916083333334,2729.8149983333333,28.041661666666666,1.7366327272727273,0.4564983333333333
2022-07-10 11:00:00+00:00,0.16483166666666668,24.169997000000002,97.63077499999999,2736.0208291666663,29.490903636363637,1.8578154545454546,0.44854363636363637
2022-07-10 12:00:00+00:00,0.16455,26.333331666666666,97.87142857142858,2743.163366666666,29.933328333333332,1.8488300000000002,0.4231414285714286
2022-07-10 13:00:00+00:00,0.1650325,25.599998333333332,97.73332749999999,2745.6466433333335,29.633329166666666,1.7737254545454546,0.4254158333333333
2022-07-10 14:00:00+00:00,0.16425833333333334,25.41665833333333,97.6909,2728.272722727273,30.2333325,1.997415,0.4477466666666667
2022-07-10 15:00:00+00:00,0.16417833333333334,25.324992499999997,97.61665750000002,2753.451655833333,30.5833325,1.687909090909091,0.385
2022-07-10 16:00:00+00:00,0.16515583333333334,25.091665000000003,97.54999500000001,2726.1033483333335,29.52499333333333,1.5150808333333332,0.3670825
2022-07-10 17:00:00+00:00,0.16420285714285712,24.57142428571429,97.52856857142856,2709.468571428571,27.957137142857142,1.38071,0.36616166666666666
2022-07-10 18:00:00+00:00,0.16401583333333333,23.881814545454542,97.75453181818183,2695.00498,25.183329999999998,1.3508291666666665,0.42308083333333335
2022-07-10 19:00:00+00:00,0.16450499999999998,23.124995,97.20582250000001,2689.970821666667,22.2416625,1.3702466666666666,0.5117483333333334
2022-07-10 20:00:00+00:00,0.16567454545454546,22.466662499999998,97.18499666666666,2687.313649090909,19.64166416666667,1.4852699999999999,0.6531809090909091
2022-07-10 21:00:00+00:00,0.1642972727272727,21.908330000000003,97.21999545454545,2685.5700025,17.716663333333333,1.5837458333333334,0.7814991666666667
2022-07-10 22:00:00+00:00,0.16495083333333335,21.445449090909094,97.22181545454546,2682.4550125,16.609087272727272,1.5612450000000002,0.8264141666666666
2022-07-10 23:00:00+00:00,0.16479000000000002,21.066665833333335,97.19999166666666,2680.9291725,16.5833325,1.5076625000000001,0.799915
2022-07-11 00:00:00+00:00,0.16501333333333332,20.783326666666667,97.176665,2679.7766475000003,16.339993,1.4578291666666667,0.7848316666666667
2022-07-11 01:00:00+00:00,0.1652775,20.6,97.15500000000002,2679.7916416666667,16.333325,1.4664125,0.79008
2022-07-11 02:00:00+00:00,0.16373166666666666,20.49999909090909,97.13999166666667,2678.9633341666668,16.399991666666665,1.4652458333333334,0.7860816666666667
2022-07-11 03:00:00+00:00,0.1664575,20.39999,97.12333000000001,2678.3099925,16.516665833333334,1.4709116666666666,0.7838316666666666
2022-07-11 04:00:00+00:00,0.165785,20.449994166666666,97.12666000000002,2677.048315,17.141663333333334,1.5459966666666667,0.7912475
2022-07-11 05:00:00+00:00,0.16371083333333333,20.86666333333333,97.12416166666668,2676.4408125,19.408330833333334,1.7203316666666666,0.7634991666666666
2022-07-11 06:00:00+00:00,0.16423916666666669,21.5249975,97.12582666666667,2672.7627127272726,21.42727,1.6627466666666668,0.6509133333333333
2022-07-11 07:00:00+00:00,0.1655633333333333,21.791660833333335,97.12999083333334,2665.9516366666667,21.95833,1.5834925,0.6013316666666667
2022-07-11 08:00:00+00:00,0.16476833333333332,22.18181363636364,97.32665000000001,2730.467465,23.266661666666668,1.5069054545454543,0.5291641666666667
2022-07-11 09:00:00+00:00,0.16421916666666667,22.474995833333335,97.85833333333333,2716.8041550000003,23.791661666666666,1.3977449999999998,0.47441500000000003
2022-07-11 10:00:00+00:00,0.1638725,22.98333,97.69999250000001,2741.3649466666666,25.508326666666665,1.4460791666666666,0.44299916666666667
2022-07-11 11:00:00+00:00,0.16507333333333332,23.61666166666667,97.49999416666667,2747.7063390909093,26.945450909090912,1.453995,0.4093333333333333
2022-07-11 12:00:00+00:00,0.1649725,26.39166416666667,97.64160666666668,2722.513320833333,27.9833275,1.4554527272727271,0.38558166666666666
2022-07-11 13:00:00+00:00,0.16432333333333335,25.066661666666665,97.33330000000001,2742.5083175,28.008330833333332,1.4209981818181818,0.3755825
2022-07-11 14:00:00+00:00,0.16503333333333334,24.7916575,96.99333,2729.1558375,28.258328333333335,1.3568291666666668,0.35366583333333335
2022-07-11 15:00:00+00:00,0.16424,24.70833,96.97416583333334,2735.1191766666666,28.4499975,1.3744966666666667,0.3541666666666667
2022-07-11 16:00:00+00:00,0.16407833333333333,24.56666583333333,96.96999999999998,2711.3716391666667,27.45454090909091,1.32383,0.3609991666666667
2022-07-11 17:00:00+00:00,0.16407666666666668,24.24166166666667,97.06998916666667,2695.8124558333334,26.408330833333334,1.3629974999999999,0.3959983333333333
2022-07-11 18:00:00+00:00,0.16483090909090908,23.87272181818182,97.47269636363636,2687.110005,25.08181272727273,1.4089990909090908,0.44336181818181813
2022-07-11 19:00:00+00:00,0.1661425,23.157140000000002,97.72623375,2681.76426,22.399995,1.3732475,0.5078725
2022-07-11 20:00:00+00:00,0.16460583333333334,22.699996666666667,97.1341625,2680.8258025,21.066663333333334,1.3604125,0.544915
2022-07-11 21:00:00+00:00,0.16466666666666666,22.179998,97.17142428571428,2680.4885885714284,19.05713857142857,1.582794,0.7238557142857143
2022-07-11 22:00:00+00:00,0.16657125,21.83749375,97.18142857142857,2679.9114085714286,17.9749975,1.6397487499999999,0.79612375
2022-07-11 23:00:00+00:00,0.16493333333333335,21.374993333333332,97.17916583333334,2680.625790833333,16.974996666666666,1.6384999999999998,0.84783
2022-07-12 00:00:00+00:00,0.1664175,21.108333333333334,97.17833166666668,2680.8000033333333,16.36666083333333,1.6292458333333333,0.875165
2022-07-12 01:00:00+00:00,0.1664575,20.929994999999998,97.17999833333334,2680.6627263636365,16.333325,1.6344958333333333,0.8806666666666666
2022-07-12 02:00:00+00:00,0.16749499999999998,20.7416625,97.18333333333334,2680.3407766666664,16.3749925,1.6378300000000001,0.8794983333333333
2022-07-12 03:00:00+00:00,0.16611166666666669,20.666666666666668,97.2058275,2679.4507633333333,16.575,1.6535808333333335,0.8777491666666667
2022-07-12 04:00:00+00:00,0.1666,20.616666666666667,97.23833,2678.7775025,16.941664166666666,1.7006658333333335,0.8807491666666666
2022-07-12 05:00:00+00:00,0.1660842857142857,20.919992,97.26856285714287,2678.3333283333336,18.683326666666666,1.9426649999999999,0.8708571428571429
