date,phytos31_moisture,atmos14_temperature,atmos14_atmosphericpressure,teros11_temperature,atmos14_vaporpressure,atmos14_moisture,teros11_volumetricwatercontent
2022-05-01 16:00:00+00:00,0.30599916666666666,,,,,,
2022-05-01 17:00:00+00:00,0.3008091666666667,,,,,,
2022-05-01 18:00:00+00:00,0.3011333333333333,,,,,,
2022-05-01 19:00:00+00:00,0.3089891666666667,,,,,,
2022-05-01 20:00:00+00:00,0.310415,,,,,,
2022-05-01 21:00:00+00:00,0.3039025,,,,,,
2022-05-01 22:00:00+00:00,0.30549,,,,,,
2022-05-01 23:00:00+00:00,0.3039225,,,,,,
2022-05-02 00:00:00+00:00,0.3042066666666667,,,,,,
2022-05-02 01:00:00+00:00,0.3085625,,,,,,
2022-05-02 02:00:00+00:00,0.3000566666666667,,,,,,
2022-05-02 03:00:00+00:00,0.30341416666666665,,,,,,
2022-05-02 04:00:00+00:00,0.3088283333333333,,,,,,
2022-05-02 05:00:00+00:00,0.30587583333333335,,,,,,
2022-05-02 06:00:00+00:00,0.30375916666666664,,,,,,
2022-05-02 07:00:00+00:00,0.30396249999999997,,,,,,
2022-05-02 08:00:00+00:00,0.30339333333333335,,,,,,
2022-05-02 09:00:00+00:00,0.20685434782608694,,,,,,
2022-05-02 10:00:00+00:00,0.18697,,,,,,
2022-05-02 11:00:00+00:00,0.35457,,,,,,
2022-05-02 12:00:00+00:00,0.31025,,,,,,
2022-05-02 13:00:00+00:00,0.3089675,,,,,,
2022-05-02 14:00:00+00:00,0.3095991666666667,,,,,,
2022-05-02 15:00:00+00:00,0.3112381818181818,,,,,,
2022-05-02 16:00:00+00:00,,,,,,,
2022-05-02 17:00:00+00:00,0.522705,,,,,,
2022-05-02 18:00:00+00:00,0.303455,,,,,,
2022-05-02 19:00:00+00:00,0.3032108333333334,,,,,,
2022-05-02 20:00:00+00:00,0.30343333333333333,,,,,,
2022-05-02 21:00:00+00:00,0.30353583333333334,,,,,,
2022-05-02 22:00:00+00:00,0.3038,,,,,,
2022-05-02 23:00:00+00:00,0.30373916666666667,,,,,,
2022-05-03 00:00:00+00:00,0.3036775,,,,,,
2022-05-03 01:00:00+00:00,0.30361583333333336,,,,,,
2022-05-03 02:00:00+00:00,0.30374,,,,,,
2022-05-03 03:00:00+00:00,0.30351500000000003,,,,,,
2022-05-03 04:00:00+00:00,0.3038808333333333,,,,,,
2022-05-03 05:00:00+00:00,0.30367833333333333,,,,,,
2022-05-03 06:00:00+00:00,0.30595666666666665,,,,,,
2022-05-03 07:00:00+00:00,0.30848000000000003,,,,,,
2022-05-03 08:00:00+00:00,0.30864416666666666,,,,,,
2022-05-03 09:00:00+00:00,0.30343333333333333,,,,,,
2022-05-03 10:00:00+00:00,0.30357666666666666,,,,,,
2022-05-03 11:00:00+00:00,0.3019091666666667,,,,,,
2022-05-03 12:00:00+00:00,0.3020916666666667,,,,,,
2022-05-03 13:00:00+00:00,0.30249833333333337,,,,,,
2022-05-03 14:00:00+00:00,0.3004977777777778,,,,,,
2022-05-03 15:00:00+00:00,0.20478894736842104,,,,,,
2022-05-03 16:00:00+00:00,0.32094181818181816,,,,,,
2022-05-03 17:00:00+00:00,0.32007916666666664,,,,,,
2022-05-03 18:00:00+00:00,0.32058916666666665,,,,,,
2022-05-03 19:00:00+00:00,0.3212816666666667,,,,,,
2022-05-03 20:00:00+00:00,0.320336,,,,,,
2022-05-03 21:00:00+00:00,,,,,,,
2022-05-03 22:00:00+00:00,,,,,,,
2022-05-03 23:00:00+00:00,,,,,,,
2022-05-04 00:00:00+00:00,,,,,,,
2022-05-04 01:00:00+00:00,,,,,,,
2022-05-04 02:00:00+00:00,,,,,,,
2022-05-04 03:00:00+00:00,,,,,,,
2022-05-04 04:00:00+00:00,,,,,,,
2022-05-04 05:00:00+00:00,,,,,,,
2022-05-04 06:00:00+00:00,,,,,,,
2022-05-04 07:00:00+00:00,,,,,,,
2022-05-04 08:00:00+00:00,,,,,,,
2022-05-04 09:00:00+00:00,0.189425,,,,,,
2022-05-04 10:00:00+00:00,,,,,,,
2022-05-04 11:00:00+00:00,0.17600214285714286,,,,,,
2022-05-04 12:00:00+00:00,,,,,,,
2022-05-04 13:00:00+00:00,0.16527452631578946,25.350522631578947,94.45441852631579,,1.1435226315789473,0.3537888421052631,
2022-05-04 14:00:00+00:00,0.16870615384615384,23.143746,94.423371375,,1.001472375,0.3366411111111111,
